"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"DR2002DHS.4","Dominican Republic","DR2002DHS","Females",1992-05-31,"7-13",0.0506017578881022,0.0395329224858317,0.0615430312739007
"DR2002DHS.5","Dominican Republic","DR2002DHS","Males",1999-06-01,"0-6",0.123484696164749,0.107508134962066,0.139175259793828
"DR2002DHS.6","Dominican Republic","DR2002DHS","Females",1999-06-01,"0-6",0.0646784796245081,0.0549764850279579,0.0742808696105273
"DR2007DHS.1","Dominican Republic","DR2007DHS","Males",1990-01-30,"14-20",0.0711192570265952,0.0554804501614691,0.0864991255984837
"DR2007DHS.2","Dominican Republic","DR2007DHS","Females",1990-01-30,"14-20",0.0610574953018604,0.0391124349226385,0.0825013673084252
"DR2007DHS.3","Dominican Republic","DR2007DHS","Males",1997-01-29,"7-13",0.0848371519812706,0.0742062728303391,0.0953459568642471
"DR2007DHS.4","Dominican Republic","DR2007DHS","Females",1997-01-29,"7-13",0.0588630822436003,0.0464538800437753,0.0711107943004595
"DR2007DHS.5","Dominican Republic","DR2007DHS","Males",2004-01-30,"0-6",0.115122337333712,0.104033072154142,0.126074352132268
"DR2007DHS.6","Dominican Republic","DR2007DHS","Females",2004-01-30,"0-6",0.0613534023441307,0.0540904815020203,0.0685605567327618
"ET2000DHS.1","Ethiopia","ET2000DHS","Males",1982-10-31,"14-20",0.317987321515058,0.248748086497831,0.380845112998355
"ET2000DHS.2","Ethiopia","ET2000DHS","Females",1982-10-31,"14-20",0.244530618106068,0.193957829371313,0.291930363228953
"ET2000DHS.3","Ethiopia","ET2000DHS","Males",1989-10-30,"7-13",0.251332707100464,0.217334701807507,0.283853881407596
"ET2000DHS.4","Ethiopia","ET2000DHS","Females",1989-10-30,"7-13",0.220097738891778,0.186947553120096,0.251896308515063
"ET2000DHS.5","Ethiopia","ET2000DHS","Males",1996-10-30,"0-6",0.275105678169936,0.250212461693227,0.299172430888718
"ET2000DHS.6","Ethiopia","ET2000DHS","Females",1996-10-30,"0-6",0.221312384299143,0.200437370782541,0.241642392117137
"ET2005DHS.1","Ethiopia","ET2005DHS","Males",1988-01-31,"14-20",0.288004437012709,0.237095199030397,0.335516461465042
"ET2005DHS.2","Ethiopia","ET2005DHS","Females",1988-01-31,"14-20",0.230354710101853,0.188264096184097,0.270262816418745
"ET2005DHS.3","Ethiopia","ET2005DHS","Males",1995-01-30,"7-13",0.257217977977458,0.222144414717043,0.290710071794115
"ET2005DHS.4","Ethiopia","ET2005DHS","Females",1995-01-30,"7-13",0.237478118261816,0.202974250006483,0.270488287066923
"ET2005DHS.5","Ethiopia","ET2005DHS","Males",2002-01-30,"0-6",0.206433623647716,0.18478798469547,0.227504524155416
"ET2005DHS.6","Ethiopia","ET2005DHS","Females",2002-01-30,"0-6",0.217016370313474,0.195508898771035,0.23794885559262
"ET2011DHS.1","Ethiopia","ET2011DHS","Males",1993-10-30,"14-20",0.208458039833982,0.176283074865987,0.239376227941985
"ET2011DHS.2","Ethiopia","ET2011DHS","Females",1993-10-30,"14-20",0.218819878832,0.167852572232135,0.266665543454298
"ET2011DHS.3","Ethiopia","ET2011DHS","Males",2000-10-29,"7-13",0.222811595246042,0.192145283531413,0.25231380820008
"ET2011DHS.4","Ethiopia","ET2011DHS","Females",2000-10-29,"7-13",0.239284940680556,0.198120595047991,0.278336121489468
"ET2011DHS.5","Ethiopia","ET2011DHS","Males",2007-10-30,"0-6",0.181278531829674,0.16239762672271,0.199733830958156
"ET2011DHS.6","Ethiopia","ET2011DHS","Females",2007-10-30,"0-6",0.1572288562655,0.13725009941336,0.176744963715901
"ET2016DHS.1","Ethiopia","ET2016DHS","Males",1998-12-01,"14-20",0.193519607888174,0.151605239915167,0.23336322492632
"ET2016DHS.2","Ethiopia","ET2016DHS","Females",1998-12-01,"14-20",0.181746103707975,0.140905739708699,0.220644963254611
"ET2016DHS.3","Ethiopia","ET2016DHS","Males",2005-11-30,"7-13",0.168689734370516,0.140006357443057,0.196416434328228
"ET2016DHS.4","Ethiopia","ET2016DHS","Females",2005-11-30,"7-13",0.192687555715404,0.155884962108122,0.227885592081761
"ET2016DHS.5","Ethiopia","ET2016DHS","Males",2012-11-30,"0-6",0.124106338829524,0.107004016646017,0.140881123790557
"ET2016DHS.6","Ethiopia","ET2016DHS","Females",2012-11-30,"0-6",0.0999813694241372,0.0839856338839258,0.115697782319489
